                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.1683,                 1.3074,                 1.3976,                 0.5186,                0.54545,                0.49133,                0.35119,                  1.025,                 7.9788,                 1.3242,               0.070021,               0.003331,               0.003331
                      1,                 1.1594,                 1.2646,                 1.3831,                0.52741,                0.52129,                0.49429,                0.35593,                 1.0404,                 7.0182,                 1.3224,               0.039691,              0.0063345,              0.0063345
                      2,                 1.1737,                 1.2833,                 1.3845,                0.50528,                0.53086,                0.46131,                0.32756,                 1.0438,                 6.8331,                 1.3502,              0.0090308,              0.0090079,              0.0090079
                      3,                 1.1925,                 1.3283,                 1.3975,                 0.4718,                0.51351,                0.44969,                0.31445,                 1.0771,                 8.2289,                 1.3627,               0.008515,               0.008515,               0.008515
                      4,                 1.2015,                 1.3443,                 1.4057,                0.51148,                0.50969,                0.43247,                0.30241,                 1.0738,                 7.2625,                 1.3723,               0.008515,               0.008515,               0.008515
                      5,                 1.1916,                 1.3296,                 1.3957,                0.50591,                0.49286,                 0.4258,                0.29694,                 1.0771,                 7.4142,                 1.3631,                0.00802,                0.00802,                0.00802
                      6,                 1.1963,                 1.3132,                 1.3958,                0.53909,                0.51483,                0.44961,                0.31668,                 1.0665,                 6.7161,                 1.3487,               0.007525,               0.007525,               0.007525
                      7,                 1.1732,                 1.2994,                 1.3852,                0.51749,                0.51946,                0.46154,                0.32175,                 1.0673,                 6.8278,                 1.3313,                0.00703,                0.00703,                0.00703
                      8,                 1.1636,                  1.285,                 1.3815,                0.52529,                0.52718,                0.45935,                0.31987,                 1.0603,                 7.0793,                 1.3505,               0.006535,               0.006535,               0.006535
                      9,                 1.1677,                 1.2657,                 1.3775,                0.49233,                0.56441,                0.49067,                0.34648,                 1.0509,                 8.1303,                  1.336,                0.00604,                0.00604,                0.00604
                     10,                 1.1241,                 1.2557,                 1.4143,                0.52574,                0.52947,                0.47047,                0.32491,                 1.0694,                 6.8218,                 1.3471,               0.005545,               0.005545,               0.005545
                     11,                 1.1201,                 1.2338,                 1.4113,                0.54372,                0.45505,                 0.4478,                0.31371,                 1.0468,                 5.9191,                 1.3409,                0.00505,                0.00505,                0.00505
                     12,                 1.1072,                 1.2093,                 1.3978,                0.49551,                0.56162,                0.48605,                0.34433,                 1.0438,                 6.2239,                  1.322,               0.004555,               0.004555,               0.004555
                     13,                 1.0967,                 1.1761,                 1.3932,                0.51832,                0.55706,                0.46495,                0.32376,                 1.0355,                 6.7849,                 1.3306,                0.00406,                0.00406,                0.00406
                     14,                 1.0809,                 1.1456,                 1.3772,                0.52284,                0.54791,                0.48069,                0.34282,                 1.0394,                  6.387,                 1.3354,               0.003565,               0.003565,               0.003565
                     15,                 1.0721,                 1.1001,                  1.361,                0.53047,                0.56895,                0.47314,                0.33286,                 1.0253,                 7.1376,                 1.3073,                0.00307,                0.00307,                0.00307
                     16,                 1.0601,                 1.1053,                  1.361,                0.52307,                0.56535,                 0.4706,                0.32969,                 1.0191,                 6.1693,                 1.3118,               0.002575,               0.002575,               0.002575
                     17,                  1.059,                 1.0751,                 1.3603,                0.52669,                0.56098,                0.49952,                0.35596,                 1.0079,                 6.6766,                 1.2971,                0.00208,                0.00208,                0.00208
                     18,                 1.0524,                 1.0571,                 1.3507,                0.51055,                0.56827,                0.47492,                0.33575,                 1.0014,                 5.9466,                 1.2929,               0.001585,               0.001585,               0.001585
                     19,                 1.0374,                 1.0287,                 1.3419,                0.51453,                0.58405,                0.49376,                0.35123,                 1.0027,                 6.6654,                 1.2948,                0.00109,                0.00109,                0.00109
