                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0611,                 1.0726,                 1.3096,                0.54625,                0.59103,                0.51452,                0.36897,                0.99577,                 7.4867,                 1.2808,               0.070016,              0.0033316,              0.0033316
                      1,                 1.0617,                 1.0879,                 1.3104,                0.50436,                0.58064,                 0.5085,                 0.3639,                 1.0187,                 6.8689,                 1.3093,               0.039884,              0.0065329,              0.0065329
                      2,                 1.1006,                 1.1594,                 1.3316,                0.50247,                0.55021,                0.46684,                 0.3226,                 1.0764,                 8.1536,                 1.3577,              0.0096199,              0.0096023,              0.0096023
                      3,                 1.1357,                 1.2488,                 1.3584,                0.49556,                0.54254,                0.46946,                0.32904,                 1.0806,                 7.0621,                 1.3585,               0.009406,               0.009406,               0.009406
                      4,                 1.1491,                 1.2618,                 1.3623,                0.51931,                0.56381,                0.49572,                0.34505,                 1.0651,                 6.1942,                 1.3343,               0.009406,               0.009406,               0.009406
                      5,                 1.1312,                 1.2688,                 1.3635,                0.50948,                0.53015,                0.48299,                0.34374,                 1.0789,                  7.083,                 1.3502,               0.009208,               0.009208,               0.009208
                      6,                 1.1414,                 1.2632,                 1.3641,                 0.5072,                   0.55,                 0.4837,                0.34197,                 1.0626,                 7.3502,                 1.3566,                0.00901,                0.00901,                0.00901
                      7,                 1.1429,                 1.2627,                 1.3623,                0.50873,                0.54319,                0.47271,                 0.3291,                 1.0745,                 7.5055,                 1.3461,               0.008812,               0.008812,               0.008812
                      8,                 1.1283,                 1.2513,                 1.3568,                0.50539,                0.54441,                0.48316,                0.34232,                 1.0601,                 7.3038,                 1.3341,               0.008614,               0.008614,               0.008614
                      9,                 1.1343,                 1.2472,                 1.3583,                0.54089,                0.53036,                0.46403,                0.32268,                 1.0636,                 7.4028,                 1.3424,               0.008416,               0.008416,               0.008416
                     10,                 1.1308,                 1.2486,                 1.3579,                0.47338,                0.55504,                0.47957,                0.33493,                 1.0423,                 7.1433,                 1.3259,               0.008218,               0.008218,               0.008218
                     11,                 1.1295,                 1.2385,                 1.3578,                0.52538,                0.54028,                0.46976,                0.32334,                 1.0585,                 7.8122,                 1.3343,                0.00802,                0.00802,                0.00802
                     12,                 1.1331,                 1.2367,                 1.3558,                0.51758,                0.55702,                0.48896,                0.34446,                 1.0458,                 7.9303,                 1.3271,               0.007822,               0.007822,               0.007822
                     13,                 1.1252,                 1.2224,                 1.3507,                0.51327,                0.57002,                0.48849,                0.34695,                 1.0567,                 7.4303,                 1.3387,               0.007624,               0.007624,               0.007624
                     14,                 1.1247,                 1.2323,                  1.352,                0.49808,                0.54782,                0.48104,                0.34233,                 1.0552,                 8.1129,                 1.3276,               0.007426,               0.007426,               0.007426
                     15,                 1.1232,                 1.2135,                  1.349,                0.51558,                0.57018,                0.50251,                0.35273,                 1.0508,                 6.8827,                 1.3211,               0.007228,               0.007228,               0.007228
                     16,                 1.1111,                 1.1975,                 1.3435,                0.50588,                0.57029,                0.49519,                0.35485,                 1.0295,                 6.9713,                 1.3098,                0.00703,                0.00703,                0.00703
                     17,                 1.1194,                 1.1955,                 1.3414,                0.52688,                 0.5632,                0.50912,                0.36205,                  1.024,                 6.9057,                 1.3048,               0.006832,               0.006832,               0.006832
                     18,                 1.1108,                 1.1872,                 1.3421,                0.52525,                0.56464,                0.51574,                0.37126,                 1.0241,                 7.8078,                 1.3092,               0.006634,               0.006634,               0.006634
                     19,                 1.1087,                 1.1805,                 1.3368,                 0.5225,                0.56672,                0.51259,                0.36852,                 1.0351,                 6.9494,                 1.3195,               0.006436,               0.006436,               0.006436
                     20,                 1.1104,                 1.1894,                 1.3454,                0.52291,                0.56266,                0.51876,                0.37941,                 1.0179,                 7.2797,                 1.3031,               0.006238,               0.006238,               0.006238
                     21,                 1.1032,                 1.1798,                 1.3368,                0.51947,                0.57916,                0.51941,                0.37161,                 1.0193,                 7.0691,                 1.2985,                0.00604,                0.00604,                0.00604
                     22,                 1.1125,                 1.1762,                 1.3378,                0.53214,                0.56525,                0.51112,                0.36823,                 1.0175,                 7.2814,                 1.2982,               0.005842,               0.005842,               0.005842
                     23,                 1.1068,                 1.1737,                 1.3377,                0.53132,                0.58583,                0.51219,                0.36781,                 1.0215,                 7.4236,                 1.2999,               0.005644,               0.005644,               0.005644
                     24,                  1.097,                 1.1575,                 1.3287,                0.50957,                0.57933,                0.48327,                0.34413,                 1.0183,                 7.8146,                 1.3045,               0.005446,               0.005446,               0.005446
                     25,                 1.0998,                 1.1564,                 1.3324,                0.53373,                0.56121,                0.51302,                0.37055,                 1.0093,                  7.169,                 1.2894,               0.005248,               0.005248,               0.005248
                     26,                 1.0857,                 1.1417,                 1.3257,                0.52437,                0.57916,                0.51959,                0.37789,                0.99872,                 7.2625,                 1.2868,                0.00505,                0.00505,                0.00505
                     27,                 1.0894,                  1.138,                 1.3244,                0.51519,                0.57807,                0.50093,                0.35839,                0.99723,                  7.758,                  1.282,               0.004852,               0.004852,               0.004852
                     28,                 1.0934,                 1.1271,                 1.3247,                0.51206,                 0.6034,                0.52105,                 0.3751,                 1.0014,                 7.3066,                 1.2851,               0.004654,               0.004654,               0.004654
                     29,                 1.0817,                 1.1267,                 1.3196,                0.50279,                0.60702,                0.53106,                0.38448,                0.99435,                 7.5953,                 1.2751,               0.004456,               0.004456,               0.004456
                     30,                 1.0777,                 1.1074,                 1.3142,                0.53173,                 0.5971,                0.52032,                0.37117,                 1.0033,                 7.4535,                 1.2804,               0.004258,               0.004258,               0.004258
                     31,                 1.0582,                 1.0937,                 1.3095,                 0.5147,                0.58565,                0.51685,                 0.3737,                0.99801,                 7.4026,                 1.2802,                0.00406,                0.00406,                0.00406
                     32,                 1.0737,                 1.0954,                 1.3139,                0.54421,                0.58335,                0.50995,                  0.367,                 1.0003,                 7.3358,                 1.2823,               0.003862,               0.003862,               0.003862
                     33,                  1.068,                 1.0915,                 1.3099,                0.54849,                0.58988,                0.51605,                0.37303,                0.99235,                 7.2669,                 1.2738,               0.003664,               0.003664,               0.003664
                     34,                 1.0679,                  1.077,                 1.3103,                0.52384,                0.60211,                0.51455,                0.37262,                0.98482,                 7.5674,                 1.2684,               0.003466,               0.003466,               0.003466
                     35,                 1.0599,                 1.0758,                 1.3038,                0.54639,                0.58821,                0.50452,                0.36285,                0.98631,                 7.5494,                 1.2698,               0.003268,               0.003268,               0.003268
                     36,                 1.0446,                 1.0587,                 1.2964,                0.52956,                0.59668,                0.51359,                0.36494,                0.98599,                 7.5151,                 1.2651,                0.00307,                0.00307,                0.00307
                     37,                 1.0511,                 1.0542,                 1.2963,                0.52994,                0.60071,                0.52734,                0.37883,                0.99053,                 7.5814,                 1.2713,               0.002872,               0.002872,               0.002872
                     38,                 1.0515,                 1.0412,                  1.294,                0.54648,                 0.5911,                0.53222,                0.38092,                 0.9897,                 7.8461,                 1.2679,               0.002674,               0.002674,               0.002674
                     39,                 1.0567,                 1.0404,                 1.2936,                0.53217,                 0.5953,                0.51891,                0.37296,                0.98147,                 7.7659,                 1.2636,               0.002476,               0.002476,               0.002476
                     40,                0.99161,                0.98618,                 1.3041,                0.54721,                0.58819,                0.52499,                 0.3781,                0.98479,                 7.1482,                 1.2693,               0.002278,               0.002278,               0.002278
                     41,                0.98498,                0.95056,                 1.2973,                0.54003,                0.59524,                0.51747,                 0.3722,                0.98908,                 7.0619,                  1.275,                0.00208,                0.00208,                0.00208
                     42,                0.97542,                0.93254,                   1.29,                0.53158,                0.60689,                0.52285,                0.37795,                0.98147,                  7.031,                 1.2668,               0.001882,               0.001882,               0.001882
                     43,                0.96969,                0.91347,                 1.2799,                0.53844,                0.59745,                0.52305,                0.37995,                0.98172,                 7.0579,                 1.2692,               0.001684,               0.001684,               0.001684
                     44,                0.96191,                 0.9045,                 1.2779,                0.55525,                0.58085,                0.52403,                0.38328,                0.98321,                 7.0741,                   1.27,               0.001486,               0.001486,               0.001486
                     45,                0.95727,                0.88493,                 1.2718,                0.54597,                0.59622,                0.52344,                0.38165,                0.98292,                  7.065,                 1.2698,               0.001288,               0.001288,               0.001288
                     46,                0.95272,                0.87684,                 1.2674,                0.56289,                0.57797,                0.52745,                0.38318,                0.98733,                 7.1292,                  1.272,                0.00109,                0.00109,                0.00109
                     47,                0.94314,                0.85789,                 1.2628,                0.54166,                0.59562,                0.52597,                0.38209,                0.98911,                 7.0802,                 1.2733,               0.000892,               0.000892,               0.000892
                     48,                0.94052,                0.85379,                 1.2569,                0.56253,                0.57388,                0.52277,                0.37984,                0.98596,                 6.9889,                 1.2706,               0.000694,               0.000694,               0.000694
                     49,                0.93222,                0.83592,                 1.2532,                0.55477,                0.57781,                0.52093,                0.37854,                0.98391,                 7.0231,                 1.2679,               0.000496,               0.000496,               0.000496
